id,title,normalized_title,level,category,company,location,salary,full_time,part_time,internship,temporary,updated,collected_at
1666339484060870957,Service Desk System Administrator,service desk system administrator,Middle,System Administrator / Network Engineer,Wargaming.net,Київ,,1,0,0,0,2026-05-15,2026-05-16
-3928764076711649357,Front End Game Developer,front end game developer,Middle,Frontend Developer,Playtech,Київ,,1,0,0,0,2026-05-05,2026-05-16
-5846322382482889819,System Administrator,system administrator,Middle,System Administrator / Network Engineer,Genesis,Київ,,1,0,0,0,2026-04-29,2026-05-16
-2783637381557498856,Системний адміністратор,системний адміністратор,Middle,System Administrator / Network Engineer,Moodro,Київ,,1,0,0,0,2026-05-15,2026-05-16
1383372632500716422,System Administrator,system administrator,Middle,System Administrator / Network Engineer,Everstar,Київ,,1,0,0,0,2026-05-13,2026-05-16
346675207476296462,Системний адміністратор (ЗСУ),системний адміністратор зсу,Middle,System Administrator / Network Engineer,Війська зв'язку та Кібербезпеки ЗСУ,Київ,,1,0,0,0,2026-04-27,2026-05-16
-2411328880652828167,Фахівець IT підтримки (System administrator),фахівець it підтримки system administrator,Middle,System Administrator / Network Engineer,КРКА,Київ,,1,0,0,0,2026-05-04,2026-05-16
2163438531452468772,DevOps Engineer — Data team,devops engineer data team,Middle,DevOps / SRE Engineer,WiX,Київ,,1,0,0,0,2026-05-04,2026-05-16
2694413336415697948,System Administrator,system administrator,Middle,System Administrator / Network Engineer,Ukrspecsystems,Київ,900 - 1 000 $,1,0,0,0,2026-05-15,2026-05-16
-2712731893480877720,Full-Stack Developer,full-stack developer,Middle,Full Stack Developer,Bitmedia Labs,Київ,,1,0,0,0,2026-04-20,2026-05-16
-907178344553687158,IT System Administrator (Kyiv\hybrid),it system administrator kyiv hybrid,Middle,System Administrator / Network Engineer,Techstate,Київ,,1,0,0,0,2026-04-28,2026-05-16
4707318833763786936,QA Tester,qa tester,Middle,QA Manual Engineer,ROOM 8 STUDIO,Київ,,1,0,0,0,2026-05-12,2026-05-16
-3834971622482689441,Game Manual QA Engineer,game manual qa engineer,Middle,QA Manual Engineer,Bitmedia Labs,Київ,,1,0,0,0,2026-04-20,2026-05-16
-2607377521526328325,Middle DevOps Engineer,middle devops engineer,Middle,DevOps / SRE Engineer,Brights,Київ,,1,0,0,0,2026-05-11,2026-05-16
2264152365886968778,Senior/Lead software engineer (Cybersecurity & Python ),senior lead software engineer cybersecurity python,Senior,Software / Embedded Engineer,CORE Team,Київ,,1,0,0,0,2026-05-05,2026-05-16
1265255121134462411,Системний адміністратор,системний адміністратор,Middle,System Administrator / Network Engineer,bill_line,Київ,,1,0,0,0,2026-05-15,2026-05-16
5929818362907491403,Senior Backend Engineer (Python),senior backend engineer python,Senior,Backend Developer,Nestlogic,Київ,,1,0,0,0,2026-05-13,2026-05-16
1366599168824168070,System Administrator ОS Linux,system administrator оs linux,Middle,System Administrator / Network Engineer,IT SmartFlex,Київ,,1,0,0,0,2026-05-11,2026-05-16
-5882962482511670284,Системний адміністратор (Mac-First Environment),системний адміністратор mac-first environment,Middle,System Administrator / Network Engineer,Life Vision,Київ,1 200 $,1,0,0,0,2026-05-04,2026-05-16
-3540597714927522020,System administrator,system administrator,Middle,System Administrator / Network Engineer,SeoProfy,Київ,,1,0,0,0,2026-05-12,2026-05-16
2280749762630968114,Senior Mobile AQA Engineer (Android),senior mobile aqa engineer android,Senior,QA Automation Engineer,OBRIO,Київ,,1,0,0,0,2026-05-04,2026-05-16
-6680982813310143067,Системний адміністратор (Адміністратор хмарної інфраструктури Azure),системний адміністратор адміністратор хмарної інфраструктури azure,Middle,System Administrator / Network Engineer,Winner Group Ukraine,Київ,,1,0,0,0,2026-04-23,2026-05-16
-4918846636711866227,Data Analyst,data analyst,Middle,Data Analyst,"ТОВ ""Нафтогаз Цифрові Технології""",Київ,,1,0,0,0,2026-04-22,2026-05-16
5364808564450153619,iOS Developer,ios developer,Middle,Mobile Developer,SharksCode,Київ,,1,0,0,0,2026-04-17,2026-05-16
8445675010145927007,Middle DevOps Engineer & Security Officer,middle devops engineer security officer,Middle,DevOps / SRE Engineer,appflame,Київ,,1,0,0,0,2026-04-30,2026-05-16
-8283155150132944680,System Administrator / IT Engineer,system administrator it engineer,Middle,System Administrator / Network Engineer,BTRY.ENERGY,Київ,900 $,1,0,0,0,2026-04-23,2026-05-16
-8156114251614160186,DevOps/SRE engineer,devops sre engineer,Middle,DevOps / SRE Engineer,CORE Team,Київ,,1,0,0,0,2026-05-05,2026-05-16
6258862531600104114,Системний адміністратор / Мережі / Відеоспостереження,системний адміністратор мережі відеоспостереження,Middle,System Administrator / Network Engineer,Axis,Київ,1 100 $,1,0,0,0,2026-04-20,2026-05-16
3677813727515515344,DevOps Engineer,devops engineer,Middle,DevOps / SRE Engineer,Reintech,Київ,,1,0,0,0,2026-04-24,2026-05-16
1424679866850713444,Senior DevOps Engineer,senior devops engineer,Senior,DevOps / SRE Engineer,Altamira,Київ,,1,0,0,0,2026-04-30,2026-05-16
-7190696911973492188,Middle Mobile Developer (React Native),middle mobile developer react native,Middle,Mobile Developer,NCube Ltd.,Київ,,1,0,0,0,2026-04-27,2026-05-16
-3193054456300153833,Senior Back-end Engineer,senior back-end engineer,Senior,Backend Developer,Preply,Київ,,1,0,0,0,2026-04-27,2026-05-16
-4531599772643354985,.Net MAUI Mobile Developer,.net maui mobile developer,Middle,Mobile Developer,TechMagic,Київ,,1,0,0,0,2026-05-04,2026-05-16
7018563356554544877,UI/UX designer,uiux designer,Middle,UX/UI Designer,ViyarTech,Київ,,1,0,0,0,2026-05-04,2026-05-16
3845827082391892354,"Full-Stack Developer (JS,TS,Vue/Svelte,Node,Nest)",full-stack developer js ts vue svelte node nest,Middle,Full Stack Developer,DataMix,Київ,,1,0,0,0,2026-05-11,2026-05-16
182016064057495040,Senior Backend Developer (Integration),senior backend developer integration,Senior,Backend Developer,Bank Pivdenny,Київ,,1,0,0,0,2026-05-13,2026-05-16
-9102251487202798791,Intern QA Engineer (Kyiv office),intern qa engineer kyiv office,Junior,QA Manual Engineer,King Group,Київ,500 - 600 $,1,0,1,0,2026-05-04,2026-05-16
1128216656949033306,Бізнес-аналітик,бізнес-аналітик,Middle,Business Analyst,NAIS,Київ,,1,0,0,0,2026-05-13,2026-05-16
341282814983535404,Системний адміністратор,системний адміністратор,Middle,System Administrator / Network Engineer,ФОП БЄЛЄНЬКИЙ,Київ,28 000 - 34 000 грн,0,1,0,0,2026-05-14,2026-05-16
3822844725783938332,IT Support / System Administrator (Helpdesk),it support system administrator helpdesk,Middle,System Administrator / Network Engineer,Ven Commerce Ltd.,Київ,,1,0,0,0,2026-05-12,2026-05-16
731187367995049303,Business Analyst,business analyst,Middle,Business Analyst,Playtech,Київ,,1,0,0,0,2026-04-27,2026-05-16
2021275731236546229,"Backend Developer (TypeScript, Adonis. js, Nest. js)",backend developer typescript adonis. js nest. js,Middle,Backend Developer,DiFFreight,Київ,,1,0,0,0,2026-04-23,2026-05-16
8631409707637281198,Senior II Back-End Engineer,senior ii back-end engineer,Senior,Backend Developer,Preply,Київ,,1,0,0,0,2026-05-15,2026-05-16
-8229592554074561364,Business Analyst (E-Com),business analyst e-com,Middle,Business Analyst,ViyarTech,Київ,,1,0,0,0,2026-05-08,2026-05-16
-2383809525170966548,Senior DevOps Engineer,senior devops engineer,Senior,DevOps / SRE Engineer,Sombra,Київ,,1,0,0,0,2026-05-15,2026-05-16
